postalcode;street;lat;lng;price;area;volume;floors;year_build;has_garden;type;photos;rooms
1051 PS Amsterdam;Waterloop 552;52.38180000;4.87170000;485000;95;319;3;1996;1;appartement;27;3
1016 EW Amsterdam;Keizersgracht 298 -C;52.37090000;4.88160000;1000000;121;445;1;1945;0;appartement;22;2
1033 KM Amsterdam;Pruimenstraat 12 E;52.40920000;4.89020000;250000;82;240;4;2004;0;appartement;21;2
1067 MZ Amsterdam;Troelstralaan 84;52.37860000;4.79870000;299500;105;345;3;1985;1;woonhuis;17;5
1102 SX Amsterdam;Anna Blamansingel 252;52.31660000;4.95170000;250000;104;300;1;2006;0;appartement;24;3
1064 NK Amsterdam;Anselmushof 5;52.37420000;4.82180000;182500;60;175;3;1945;1;woonhuis;15;4
1064 PR Amsterdam;Tretjakovlaan 22;52.37420000;4.82180000;250000;98;270;16;1998;0;appartement;35;3
1012 HG Amsterdam;Sint Jansstraat 48 hs;52.37350000;4.89510000;319000;51;182;1;1906;1;appartement;27;2
1015 KZ Amsterdam;Lindenstraat 80 -2;52.37840000;4.88360000;325000;51;158;1;1906;0;appartement;15;2
1018 AM Amsterdam;Cruquiuskade 57;52.36760000;4.91840000;575000;135;354;1;2005;0;appartement;20;3
1073 LL Amsterdam;Van Woustraat 12 2;52.35320000;4.89820000;349000;66;242;1;1885;0;appartement;16;3
1075 RG Amsterdam;Lomanstraat 86 bov.;52.35180000;4.85860000;1100000;195;732;3;1914;1;appartement;54;8
1108 CX Amsterdam;Leusdenhof 81;52.30820000;4.98070000;0;76;199;1;1980;0;appartement;1;3
1051 KS Amsterdam;Haarlemmerweg 89 e;52.38180000;4.87170000;215000;33;87;1;1983;0;appartement;1;1
1102 JB Amsterdam;Huntum 32;52.31660000;4.95170000;350000;0;0;1;0;0;onbekend;1;1
1096 CR Amsterdam;Ouderkerkerdijk 170 *;52.33870000;4.91970000;1350000;138;570;2;1999;1;woonhuis;25;5
1107 ZX Amsterdam;Spankerenkade 2;52.29320000;4.98030000;205000;82;230;2;1985;1;woonhuis;22;4
1019 DN Amsterdam;Oostelijke Handelskade 1155;52.37330000;4.93910000;480000;97;235;1;1998;0;appartement;9;3
1051 JK Amsterdam;Rochussenstraat 12 IV;52.38180000;4.87170000;225000;43;116;1;1905;0;appartement;17;2
1065 Amsterdam;Jacques Veltmanstraat;52.35730000;4.82780000;21000;0;0;1;0;0;parkeergelegenheid;5;1
1033 VP Amsterdam;Marsstraat 10;52.40920000;4.89020000;200000;60;218;3;1923;1;woonhuis;21;4
1065 LT Amsterdam;Aaf Bouberstraat 76;52.35730000;4.82780000;224500;85;246;2;1984;0;appartement;20;4
1098 XB Amsterdam;Carolina MacGillavrylaan 628;52.35290000;4.94220000;580000;131;347;2;2009;0;appartement;38;4
1102 WZ Amsterdam;Dalsteindreef 236;52.31660000;4.95170000;239990;104;270;1;1985;0;appartement;1;5
1081 HR Amsterdam;Pekkendam 10;52.32780000;4.86200000;1995000;324;1050;3;1960;1;woonhuis;44;11
1064 NJ Amsterdam;Geert Grootestraat 4;52.37420000;4.82180000;175000;60;110;3;1945;1;woonhuis;21;4
1093 RV Amsterdam;Pontanusstraat 5 B;52.36180000;4.92800000;316500;63;195;1;1996;0;appartement;23;2
1011 TB Amsterdam;Prins Hendrikkade 163;52.37100000;4.90410000;885000;160;480;1;1906;0;woonhuis;13;3
1103 GT Amsterdam;Grubbehoeve 228;52.32310000;4.97220000;149000;69;175;1;1970;0;appartement;27;3
1058 BZ Amsterdam;Curaçaostraat 70 -I;52.35790000;4.85100000;260000;56;188;1;1931;0;appartement;37;3
1076 PM Amsterdam;Hectorstraat 11 Hs;52.34550000;4.86070000;485000;81;220;1;1930;1;appartement;14;3
1094 KZ Amsterdam;Tweede Atjehstraat 5 -S;52.36260000;4.93600000;250000;55;172;1;1997;0;appartement;42;4
1056 DK Amsterdam;Hondiusstraat 2 D;52.37320000;4.85600000;175000;43;175;1;1931;0;appartement;17;2
1019 HD Amsterdam;Veemkade 248;52.37330000;4.93910000;465000;100;320;2;2005;0;appartement;23;3
1087 EM Amsterdam;IJburglaan 764 PP;52.35390000;5.00050000;35000;0;0;1;0;0;parkeergelegenheid;3;1
1060 NW Amsterdam;Adamello 41;52.34910000;4.78350000;275000;88;250;2;1997;1;appartement;25;4
1072 LE Amsterdam;Ferdinand Bolstraat 111 I;52.35350000;4.89020000;300000;50;153;1;1892;0;appartement;20;2
1058 GA Amsterdam;Saskia van Uijlenburgkade 132;52.35790000;4.85100000;999000;218;825;1;2010;1;appartement;45;4
1098 WG Amsterdam;Wembleylaan 28;52.35290000;4.94220000;679028;155;480;3;2002;1;woonhuis;19;5
1077 AN Amsterdam;Apollolaan 97 I;52.34600000;4.87380000;459000;71;256;1;1906;0;appartement;13;2
1087 MN Amsterdam;Jan Vrijmanstraat 295;52.35390000;5.00050000;670000;149;633;3;2009;1;woonhuis;33;5
1106 DH Amsterdam;Veldhuizenstraat 74;52.29910000;4.97540000;149000;73;180;1;1982;0;appartement;18;3
1067 AJ Amsterdam;Cornelis Roobolstraat 18;52.37860000;4.79870000;199000;96;314;2;1956;1;woonhuis;20;5
1054 HM Amsterdam;Overtoom 114 I;52.36170000;4.86690000;275000;42;147;1;1906;0;appartement;18;3
1033 DJ Amsterdam;Krasseurstraat 141;52.40920000;4.89020000;319000;108;328;3;1989;1;woonhuis;26;5
1034 ES Amsterdam;Statenjachtstraat 382;52.40750000;4.91700000;160000;71;247;8;1967;0;appartement;21;3
1053 VN Amsterdam;Bilderdijkkade 68 II;52.36680000;4.86810000;250000;45;135;1;1895;0;appartement;19;2
1012 SP Amsterdam;Spuistraat 3 F 9;52.37350000;4.89510000;249500;0;0;1;0;0;onbekend;1;1
1071 GJ Amsterdam;Van Eeghenstraat 52 huis;52.35520000;4.87890000;2000000;196;664;3;1896;1;appartement;40;5
1052 JC Amsterdam;Frederik Hendrikstraat 122 II;52.37700000;4.87400000;375000;67;228;1;1905;0;appartement;27;3
1024 BB Amsterdam;Jisperveldstraat 554;52.39390000;4.95470000;175000;84;259;11;1968;0;appartement;21;4
1054 DT Amsterdam;Eerste Helmersstraat 183 HS;52.36170000;4.86690000;1065000;150;515;2;1904;1;appartement;44;4
1087 MG Amsterdam;Nico Jessekade 45;52.35390000;5.00050000;789000;188;647;3;2008;1;woonhuis;56;6
1103 LJ Amsterdam;Groenhoven 343;52.32310000;4.97220000;118500;55;154;1;1974;0;appartement;11;2
1051 AL Amsterdam;De Wittenkade 124 h;52.38180000;4.87170000;345000;66;181;1;1905;1;appartement;26;3
1055 XN Amsterdam;Louise de Colignystraat 54 -I;52.38020000;4.85240000;165000;46;138;1;1931;0;appartement;18;2
1033 ZS Amsterdam;Stoelenmatterspad 20;52.40920000;4.89020000;275000;0;0;1;0;0;onbekend;1;1
1054 WE Amsterdam;Wilhelminastraat 179 II;52.36170000;4.86690000;275000;49;165;1;1905;0;appartement;22;2
1032 GW Amsterdam;Korenbloemstraat 46;52.39640000;4.91260000;325000;77;337;2;1930;1;woonhuis;27;4
1082 JG Amsterdam;Van Nijenrodeweg 752;52.33110000;4.87420000;148000;34;95;1;1955;0;appartement;10;2
1012 BV Amsterdam;Barndesteeg 27;52.37350000;4.89510000;580000;95;320;3;1899;0;appartement;20;5
1017 XT Amsterdam;Weteringschans 112 -II;52.36300000;4.89240000;399000;73;290;1;1906;0;appartement;18;3
1013 Amsterdam;Houthavenweg;52.38770000;4.88390000;1165864;211;600;1;2017;0;appartement;7;7
1106 WG Amsterdam;Anne Kooistrahof 21;52.29910000;4.97540000;232500;90;234;1;1986;0;woonhuis;1;3
1052 CX Amsterdam;Nassaukade 103 -IV;52.37700000;4.87400000;425000;72;235;1;1885;0;appartement;21;3
1025 HA Amsterdam;Het Hoogt 38;52.39900000;4.93610000;325000;153;490;2;1968;0;appartement;29;5
1017 GN Amsterdam;Kerkstraat 78 E;52.36300000;4.89240000;550000;100;287;1;1906;0;appartement;25;2
1018 CD Amsterdam;Kazernestraat 18 BG;52.36760000;4.91840000;599000;111;265;2;1900;1;appartement;31;3
1094 JS Amsterdam;Balistraat 90 -IV;52.36260000;4.93600000;200000;35;110;1;1914;0;appartement;24;2
1094 JP Amsterdam;Balistraat 56 I;52.36260000;4.93600000;225000;38;120;1;1912;0;appartement;16;2
1012 NK Amsterdam;Sint Nicolaasstraat 26 2;52.37350000;4.89510000;395000;47;98;1;1906;0;appartement;1;3
1063 CE Amsterdam;Fritz Conijnstraat 36 -II;52.38140000;4.82590000;185000;57;200;1;1955;0;appartement;31;3
1056 XH Amsterdam;Jan Haringstraat 10 3;52.37320000;4.85600000;649000;116;335;2;1938;0;appartement;27;4
1053 XE Amsterdam;Da Costakade 174 -3A;52.36680000;4.86810000;249000;35;115;1;1906;0;appartement;20;2
1012 BJ Amsterdam;Waterpoortsteeg 3;52.37350000;4.89510000;219000;32;90;1;1925;0;appartement;10;2
1064 MG Amsterdam;Noordzijde 311;52.37420000;4.82180000;135000;36;119;1;1986;0;appartement;18;2
1102 XL Amsterdam;Dostojevskisingel 149;52.31660000;4.95170000;150000;72;230;1;1983;0;appartement;34;3
1102 AW Amsterdam;Martin Ennalsstraat 21;52.31660000;4.95170000;275000;122;350;2;2003;1;woonhuis;22;5
1081 JK Amsterdam;Amstelveenseweg 718 C;52.32780000;4.86200000;1395000;255;738;1;2001;0;appartement;33;5
1079 SV Amsterdam;Boterdiepstraat 57 huis;52.34230000;4.90360000;275000;58;216;1;1934;1;appartement;24;2
1058 XA Amsterdam;Bonaireplein 21 HS;52.35790000;4.85100000;498000;100;325;2;1930;0;appartement;24;4
1098 XB Amsterdam;Carolina MacGillavrylaan 406;52.35290000;4.94220000;375000;91;282;1;2009;0;appartement;26;3
1087 GD Amsterdam;Zwanebloemlaan 190;52.35390000;5.00050000;435000;143;397;3;2003;1;appartement;14;4
1058 EM Amsterdam;Nachtwachtlaan 343;52.35790000;4.85100000;315000;98;250;1;1970;0;appartement;18;4
1069 KW Amsterdam;Baden Powellweg 14 D;52.35560000;4.79070000;225000;97;310;1;2006;0;appartement;21;5
1021 GL Amsterdam;Leeuwerikstraat 10 A;52.38460000;4.91720000;250000;57;160;1;1987;1;appartement;30;2
1075 EL Amsterdam;Koninginneweg 220 II;52.35180000;4.85860000;675000;93;319;1;1916;0;appartement;23;4
1061 VX Amsterdam;Derkinderenstraat 158;52.37360000;4.83950000;325000;86;230;5;2008;0;appartement;17;3
1071 TV Amsterdam;Pieter Baststraat 29 III+IV;52.35520000;4.87890000;875000;157;488;3;1905;1;appartement;56;5
1061 TC Amsterdam;Willem Nakkenstraat 16;52.37360000;4.83950000;440000;117;370;1;2009;0;woonhuis;1;5
1011 CP Amsterdam;Nieuwe Ridderstraat 10 *;52.37100000;4.90410000;885000;141;381;3;1906;0;appartement;12;4
1015 KD Amsterdam;Lindengracht 83 B;52.37840000;4.88360000;580000;72;190;1;2017;0;appartement;2;3
1069 RR Amsterdam;Jan van Zutphenstraat 63;52.35560000;4.79070000;495000;161;489;1;2008;0;appartement;25;4
1054 JG Amsterdam;Overtoom 352 II;52.36170000;4.86690000;850000;194;667;3;1903;0;appartement;30;8
1051 EC Amsterdam;Van Boetzelaerstraat 96 I;52.38180000;4.87170000;185000;33;114;1;1912;0;appartement;19;2
1017 SX Amsterdam;Tweede Weteringdwarsstraat 44;52.36300000;4.89240000;320000;45;112;1;1900;0;appartement;19;2
1078 NB Amsterdam;Merwedeplein 31 II;52.34640000;4.89770000;599000;112;371;5;1930;1;appartement;23;5
1017 AX Amsterdam;Singel 518 A;52.36300000;4.89240000;650000;103;297;1;1906;0;appartement;24;3
1075 ET Amsterdam;Valeriusstraat 149 /hs;52.35180000;4.85860000;895000;140;500;4;1906;1;appartement;29;6
1012 NE Amsterdam;Dirk van Hasseltssteeg 40;52.37350000;4.89510000;1195000;107;300;3;1730;0;woonhuis;44;4
1055 DS Amsterdam;Bos en Lommerweg 179 III;52.38020000;4.85240000;289900;52;140;1;1906;0;appartement;16;3
1082 HM Amsterdam;Van Nijenrodeweg 470;52.33110000;4.87420000;45000;0;0;1;0;0;parkeergelegenheid;5;1
1012 JD Amsterdam;Warmoesstraat 10 2;52.37350000;4.89510000;699000;177;511;1;1906;0;appartement;19;4
1094 TV Amsterdam;Ambonstraat 80;52.36260000;4.93600000;340000;81;250;1;1981;1;appartement;29;3
1054 AB Amsterdam;Nassaukade 369 HS;52.36170000;4.86690000;850000;156;522;3;1891;0;appartement;30;5
1087 JT Amsterdam;Zwanebloemlaan 252;52.35390000;5.00050000;540000;141;475;3;2007;1;woonhuis;44;6
1071 LE Amsterdam;Palestrinastraat 6 -H;52.35520000;4.87890000;2250000;265;1001;5;1906;1;appartement;40;7
1056 WJ Amsterdam;Reinier Claeszenstraat 4 II;52.37320000;4.85600000;349000;73;187;2;1931;0;appartement;30;5
1017 XR Amsterdam;Weteringschans 84 sou/bel;52.36300000;4.89240000;1250000;160;610;2;1906;1;appartement;49;4
1013 KX Amsterdam;Bickerswerf 2;52.38770000;4.88390000;249500;0;0;1;0;0;onbekend;1;1
1027 AM Amsterdam;Torenven 8;52.40920000;4.96600000;449000;106;360;3;1964;1;woonhuis;27;5
1051 XZ Amsterdam;Van Beuningenstraat;52.38180000;4.87170000;37500;0;0;1;0;0;parkeergelegenheid;1;1
1056 VT Amsterdam;Lumeijstraat 31 /2;52.37320000;4.85600000;340000;77;247;5;1922;0;appartement;26;3
1037 RS Amsterdam;Zijkanaal H-weg 61;52.42530000;4.86020000;585000;0;0;1;0;0;onbekend;1;1
1056 VH Amsterdam;Pieter van der Doesstraat 44 I;52.37320000;4.85600000;250000;59;192;1;1931;0;appartement;25;3
1102 XZ Amsterdam;Chestertonlaan 10;52.31660000;4.95170000;119000;40;125;1;1983;0;appartement;1;2
1015 JT Amsterdam;Goudsbloemstraat 148 A;52.37840000;4.88360000;419000;72;202;1;1981;1;appartement;19;3
1025 SG Amsterdam;Loenermark 53;52.39900000;4.93610000;194500;76;210;1;1972;0;appartement;25;3
1012 JS Amsterdam;Dam 3 /X;52.37350000;4.89510000;7500000;371;1400;1;2017;0;appartement;20;5
1016 BG Amsterdam;Herengracht 229 -231;52.37090000;4.88160000;2250000;320;960;5;1906;1;woonhuis;27;11
1062 KZ Amsterdam;Carnapstraat 221;52.35480000;4.83810000;449000;120;302;1;2000;0;appartement;1;4
1072 SW Amsterdam;Van Ostadestraat 147 I;52.35350000;4.89020000;223000;33;92;3;1930;0;appartement;10;1
1051 HA Amsterdam;Van Hallstraat 83 -III;52.38180000;4.87170000;265000;65;163;2;1930;0;appartement;19;3
1064 EK Amsterdam;Burgemeester Hogguerstraat 1177;52.37420000;4.82180000;150000;45;120;1;1960;0;appartement;17;2
1053 DC Amsterdam;Kinkerstraat 23 III v;52.36680000;4.86810000;165000;30;72;1;1890;0;appartement;14;1
1060 MB Amsterdam;Cycladenlaan 5;52.34910000;4.78350000;500000;160;615;4;2003;1;woonhuis;34;6
1071 CW Amsterdam;Van de Veldestraat 7 bv;52.35520000;4.87890000;1325000;193;608;2;1902;1;appartement;23;7
1061 BV Amsterdam;Blauwvoetstraat 14 I;52.37360000;4.83950000;192500;51;140;1;1952;0;appartement;19;3
1087 MN Amsterdam;Jan Vrijmanstraat 303;52.35390000;5.00050000;699000;166;675;4;2009;1;woonhuis;51;6
1068 PM Amsterdam;Oeverpad 568;52.35920000;4.80520000;339000;117;356;1;2005;0;appartement;27;3
1054 JC Amsterdam;Overtoom 296 *;52.36170000;4.86690000;1375000;225;800;3;1906;1;woonhuis;52;9
1011 LE Amsterdam;Oudeschans 100;52.37100000;4.90410000;1275000;159;630;2;1905;1;appartement;31;4
1056 XS Amsterdam;De Rijpgracht 51 I;52.37320000;4.85600000;275000;52;140;1;1931;0;appartement;28;3
1077 PS Amsterdam;Raphaëlstraat 14 I;52.34600000;4.87380000;700000;111;376;1;1906;0;appartement;22;3
1087 KA Amsterdam;Lisdoddelaan 58;52.35390000;5.00050000;1175000;249;918;3;2004;1;woonhuis;32;6
1071 TX Amsterdam;Pieter Baststraat 26 III&IV;52.35520000;4.87890000;750000;122;391;2;1905;1;appartement;38;5
1083 GR Amsterdam;Arent Janszoon Ernststraat 87;52.33020000;4.88440000;385000;111;333;1;1960;0;appartement;16;3
1055 RZ Amsterdam;Nieuwpoortstraat 94 B 17;52.38020000;4.85240000;264140;56;198;1;2017;0;appartement;20;2
1072 GZ Amsterdam;Rustenburgerstraat 427;52.35350000;4.89020000;510000;85;378;2;1906;0;appartement;30;2
1015 DS Amsterdam;Prinsengracht 187 B;52.37840000;4.88360000;895000;122;325;1;1750;0;appartement;21;3
1071 LX Amsterdam;Wouwermanstraat 14 II;52.35520000;4.87890000;1185000;204;794;3;1911;0;appartement;31;8
1083 KD Amsterdam;Beysterveld;52.33020000;4.88440000;45000;0;0;1;0;0;parkeergelegenheid;2;1
1068 MS Amsterdam;Professor J.H. Gunningstraat 55;52.35920000;4.80520000;250000;70;228;1;2007;0;appartement;20;3
1064 EE Amsterdam;Burgemeester Hogguerstraat 969;52.37420000;4.82180000;189000;0;0;1;0;0;onbekend;1;1
1035 PJ Amsterdam;Zuideinde 509;52.41960000;4.89440000;475000;71;285;1;1961;1;woonhuis;27;4
1058 AM Amsterdam;Stuyvesantstraat 52 III;52.35790000;4.85100000;265000;50;167;1;1906;0;appartement;17;3
1079 LX Amsterdam;Hoendiepstraat 48 II;52.34230000;4.90360000;395000;69;181;2;1934;0;appartement;27;3
1098 LB Amsterdam;Wethouder Frankeweg 36 2;52.35290000;4.94220000;0;68;235;1;1906;0;appartement;1;2
1012 JS Amsterdam;Dam 5 /g;52.37350000;4.89510000;1275000;128;360;1;2017;0;appartement;20;3
1086 Amsterdam;Smalschipstraat;52.36280000;4.98190000;615000;165;612;1;2017;1;woonhuis;8;5
1057 ET Amsterdam;Admiralengracht 119 -H;52.36770000;4.85510000;475000;106;263;2;2004;0;appartement;24;4
1015 JN Amsterdam;Goudsbloemstraat 191 E;52.37840000;4.88360000;310000;47;122;1;1905;0;appartement;21;2
1106 XK Amsterdam;Ommerenhof 44;52.29910000;4.97540000;215000;125;325;1;1976;0;appartement;21;5
1019 NA Amsterdam;Venetiëhof 47;52.37330000;4.93910000;589000;132;425;9;1994;0;appartement;25;5
1071 PD Amsterdam;De Lairessestraat 56 III;52.35520000;4.87890000;1050000;155;568;2;1913;0;appartement;35;5
1057 WS Amsterdam;Marco Polostraat 64 II;52.36770000;4.85510000;499000;103;329;4;1906;1;appartement;29;4
1087 KP Amsterdam;Julius Pergerstraat 240;52.35390000;5.00050000;295000;83;215;1;2007;0;appartement;24;3
1018 AW Amsterdam;Geschutswerf 41;52.36760000;4.91840000;800000;150;456;1;1906;0;appartement;25;3
1054 EL Amsterdam;Eerste Helmersstraat 188 -IV;52.36170000;4.86690000;225000;35;105;1;1906;1;appartement;26;2
1058 EP Amsterdam;Nachtwachtlaan 415;52.35790000;4.85100000;325000;98;250;1;1970;0;appartement;21;4
1021 NN Amsterdam;Buitendraaierij 38;52.38460000;4.91720000;255000;0;0;1;0;0;onbekend;1;1
1056 CN Amsterdam;Hoofdweg 333 I;52.37320000;4.85600000;250000;55;186;1;1927;0;appartement;23;2
1069 PB Amsterdam;Willy La Croixstraat 59;52.35560000;4.79070000;225000;90;309;2;1988;0;appartement;26;3
1013 KS Amsterdam;Grote Bickersstraat 46 PP40;52.38770000;4.88390000;65000;0;0;1;0;0;parkeergelegenheid;2;1
1107 JS Amsterdam;Schaarsbergenstraat 35;52.29320000;4.98030000;97500;36;94;1;1981;0;appartement;6;1
1079 BN Amsterdam;Uiterwaardenstraat 9 -II;52.34230000;4.90360000;369000;55;184;1;1934;0;appartement;23;3
